Area|Ethnic group|Age group|Birthplace|Year|Value|Flags
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|201|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|24|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|27|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|3|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|516|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|132|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|42|
"Waimate District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|6570|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|48|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|69|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|129|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|120|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|177|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|24|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|9|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|441|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|126|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|42|
"Mackenzie District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|3585|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|555|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|435|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|342|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|720|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|342|
